居住地址,lat,lng,hospital_count,nearest_hospital_distance,store_count,nearest_store_distance
屏東縣枋山鄉楓港村,22.2030762,120.6961924,1.0,1.044394185050686,2.0,0.8406487698039746
屏東縣枋山鄉善餘村,22.1902957,120.6933177,1.0,0.4915827908658292,4.0,0.18752493893781733
屏東縣萬丹鄉田厝村,22.5872015,120.4717657,0.0,0.0,2.0,1.0924584476961265
屏東縣三地門鄉三地村,22.7284079,120.6602534,0.0,0.0,0.0,0.0
屏東縣屏東市空翔里,22.679823,120.4822046,20.0,0.2895113830173815,20.0,0.13945348570948002
屏東縣霧臺鄉佳暮村,22.7862765,120.7407425,0.0,0.0,0.0,0.0
屏東縣三地門鄉達來村,22.721115,120.6947551,0.0,0.0,0.0,0.0
屏東縣三地門鄉口社村,22.77123,120.6602534,0.0,0.0,0.0,0.0
屏東縣潮州鎮九塊里,22.5219832,120.5595696,0.0,0.0,0.0,0.0
屏東縣三地門鄉青山村,22.8247574,120.6602534,0.0,0.0,0.0,0.0
屏東縣屏東市斯文里,22.6816229,120.4912029,20.0,0.49750133669220536,20.0,0.18754602562765277
屏東縣三地門鄉青葉村,22.8518939,120.6458749,0.0,0.0,0.0,0.0
屏東縣霧臺鄉吉露村,22.7455449,120.7436161,0.0,0.0,0.0,0.0
屏東縣屏東市永安里,22.659833,120.4832844,10.0,0.4900304855898791,20.0,0.2682625202632402
屏東縣三地門鄉馬兒村,22.792641,120.6602534,0.0,0.0,0.0,0.0
屏東縣屏東市潭墘里,22.6755397,120.4530456,0.0,0.0,1.0,1.063304318213182
屏東縣長治鄉復興村,22.6838936,120.5538138,0.0,0.0,1.0,1.3540091573898725
屏東縣瑪家鄉三和村,22.701422,120.604168,1.0,0.8786155786649763,1.0,0.7221679633278154
屏東縣泰武鄉萬安村,22.6296354,120.671755,0.0,0.0,0.0,0.0
屏東縣來義鄉古樓村,22.540194,120.6516265,0.0,0.0,0.0,0.0
屏東縣九如鄉大坵村,22.7436828,120.4732056,0.0,0.0,1.0,1.6455803383497065
屏東縣來義鄉望嘉村,22.4679882,120.6257423,1.0,1.2138208758330244,0.0,0.0
屏東縣枋寮鄉新龍村,22.377923,120.5825901,1.0,1.5146550609951694,3.0,1.6881283587430573
屏東縣高樹鄉田子村,22.8026724,120.5811515,1.0,0.34813758466813627,0.0,0.0
屏東縣新園鄉南龍村,22.4809102,120.4544857,12.0,0.8753196848758285,10.0,0.8676836550024096
